seq,mode,epoch,holdMs,sendStartMs,sendEndMs,unixMs,bundle,order,msgDelay
20141,0,50,150,21002.30,21003.08,1789623698910.3,0,forward,0
20142,0,50,150,21152.30,21153.00,1789623699060.3,0,forward,0
20143,0,50,150,21302.30,21303.02,1789623699210.3,0,forward,0
20144,0,50,150,21452.30,21453.28,1789623699360.3,0,forward,0
20145,0,50,150,21602.30,21603.10,1789623699510.3,0,forward,0
20146,0,50,150,21752.30,21753.08,1789623699660.3,0,forward,0
20147,0,50,150,21902.30,21903.07,1789623699810.3,0,forward,0
20148,0,50,150,22052.30,22053.08,1789623699960.3,0,forward,0
20149,0,50,150,22202.30,22203.10,1789623700110.3,0,forward,0
20150,0,50,150,22352.30,22352.79,1789623700260.3,0,forward,0
20151,0,50,150,22502.30,22503.04,1789623700410.3,0,forward,0
20152,0,50,150,22652.30,22653.27,1789623700560.3,0,forward,0
20153,0,50,150,22803.09,22803.87,1789623700711.1,0,forward,0
20154,0,50,150,22952.30,22953.25,1789623700860.3,0,forward,0
20155,0,50,150,23102.30,23102.97,1789623701010.3,0,forward,0
20156,0,50,150,23252.30,23253.05,1789623701160.3,0,forward,0
20157,0,50,150,23402.30,23403.08,1789623701310.3,0,forward,0
20158,0,50,150,23552.30,23552.97,1789623701460.3,0,forward,0
20159,0,50,150,23702.30,23703.07,1789623701610.3,0,forward,0
20160,0,50,150,23852.30,23853.02,1789623701760.3,0,forward,0
20161,0,50,150,24002.30,24003.03,1789623701910.3,0,forward,0
20162,0,50,150,24152.30,24153.02,1789623702060.3,0,forward,0
20163,0,50,150,24302.30,24303.04,1789623702210.3,0,forward,0
20164,0,50,150,24452.30,24453.06,1789623702360.3,0,forward,0
20165,0,50,150,24602.30,24603.16,1789623702510.3,0,forward,0
20166,0,50,150,24752.30,24752.91,1789623702660.3,0,forward,0
20167,0,50,150,24902.30,24902.87,1789623702810.3,0,forward,0
20168,0,50,150,25052.30,25052.80,1789623702960.3,0,forward,0
20169,0,50,150,25202.31,25202.79,1789623703110.3,0,forward,0
20170,0,50,150,25352.30,25353.02,1789623703260.3,0,forward,0
20171,0,50,150,25502.30,25502.78,1789623703410.3,0,forward,0
20172,0,50,150,25652.30,25652.91,1789623703560.3,0,forward,0
20173,0,50,150,25802.30,25802.97,1789623703710.3,0,forward,0
20174,0,50,150,25952.30,25952.78,1789623703860.3,0,forward,0
20175,0,50,150,26102.30,26102.79,1789623704010.3,0,forward,0
20176,0,50,150,26252.30,26252.85,1789623704160.3,0,forward,0
20177,0,50,150,26402.30,26402.81,1789623704310.3,0,forward,0
20178,0,50,150,26552.30,26552.84,1789623704460.3,0,forward,0
20179,0,50,150,26702.33,26702.84,1789623704610.3,0,forward,0
20180,0,50,150,26852.30,26852.94,1789623704760.3,0,forward,0
20181,0,50,150,27002.31,27002.86,1789623704910.3,0,forward,0
20182,0,50,150,27152.30,27152.68,1789623705060.3,0,forward,0
20183,0,50,150,27302.30,27302.84,1789623705210.3,0,forward,0
20184,0,50,150,27452.30,27453.15,1789623705360.3,0,forward,0
20185,0,50,150,27602.30,27603.05,1789623705510.3,0,forward,0
20186,0,50,150,27752.46,27753.00,1789623705660.5,0,forward,0
20187,0,50,150,27902.30,27902.85,1789623705810.3,0,forward,0
20188,0,50,150,28052.30,28052.93,1789623705960.3,0,forward,0
20189,0,50,150,28202.30,28202.87,1789623706110.3,0,forward,0
20190,0,50,150,28352.30,28352.82,1789623706260.3,0,forward,0
20191,0,50,150,28502.30,28502.83,1789623706410.3,0,forward,0
20192,0,50,150,28652.30,28652.86,1789623706560.3,0,forward,0
20193,0,50,150,28802.30,28802.88,1789623706710.3,0,forward,0
20194,0,50,150,28952.30,28952.86,1789623706860.3,0,forward,0
20195,0,50,150,29102.38,29102.88,1789623707010.4,0,forward,0
20196,0,50,150,29252.30,29252.78,1789623707160.3,0,forward,0
20197,0,50,150,29402.30,29402.79,1789623707310.3,0,forward,0
20198,0,50,150,29552.30,29552.86,1789623707460.3,0,forward,0
