seq,mode,epoch,holdMs,sendStartMs,sendEndMs,unixMs,bundle,order,msgDelay
5256,0,30,100,25602.38,25602.69,1789623363476.4,1,forward,0
5257,0,30,100,25702.59,25702.96,1789623363576.6,1,forward,0
5258,0,30,100,25802.36,25802.99,1789623363676.4,1,forward,0
5259,0,30,100,25902.36,25902.70,1789623363776.4,1,forward,0
5260,0,30,100,26002.40,26002.79,1789623363876.4,1,forward,0
5261,0,30,100,26102.38,26102.60,1789623363976.4,1,forward,0
5262,0,30,100,26202.36,26202.62,1789623364076.4,1,forward,0
5263,0,30,100,26302.36,26302.84,1789623364176.4,1,forward,0
5264,0,30,100,26402.47,26402.85,1789623364276.5,1,forward,0
5265,0,30,100,26502.61,26502.94,1789623364376.6,1,forward,0
5266,0,30,100,26602.36,26602.60,1789623364476.4,1,forward,0
5267,0,30,100,26702.36,26702.66,1789623364576.4,1,forward,0
5268,0,30,100,26802.36,26802.70,1789623364676.4,1,forward,0
5269,0,30,100,26902.36,26902.58,1789623364776.4,1,forward,0
5270,0,30,100,27002.36,27002.76,1789623364876.4,1,forward,0
5271,0,30,100,27102.37,27102.59,1789623364976.4,1,forward,0
5272,0,30,100,27202.36,27202.63,1789623365076.4,1,forward,0
5273,0,30,100,27302.36,27302.60,1789623365176.4,1,forward,0
5274,0,30,100,27402.36,27402.59,1789623365276.4,1,forward,0
5275,0,30,100,27502.36,27502.60,1789623365376.4,1,forward,0
5276,0,30,100,27602.36,27602.58,1789623365476.4,1,forward,0
5277,0,30,100,27702.36,27702.66,1789623365576.4,1,forward,0
5278,0,30,100,27803.63,27803.85,1789623365677.6,1,forward,0
5279,0,30,100,27902.36,27902.96,1789623365776.4,1,forward,0
5280,0,30,100,28002.36,28002.63,1789623365876.4,1,forward,0
5281,0,30,100,28102.36,28102.67,1789623365976.4,1,forward,0
5282,0,30,100,28203.09,28203.28,1789623366077.1,1,forward,0
5283,0,30,100,28302.36,28302.62,1789623366176.4,1,forward,0
5284,0,30,100,28402.36,28402.60,1789623366276.4,1,forward,0
5285,0,30,100,28502.40,28502.68,1789623366376.4,1,forward,0
5286,0,30,100,28602.36,28602.71,1789623366476.4,1,forward,0
5287,0,30,100,28702.36,28702.78,1789623366576.4,1,forward,0
5288,0,30,100,28802.36,28802.55,1789623366676.4,1,forward,0
5289,0,30,100,28902.36,28902.58,1789623366776.4,1,forward,0
5290,0,30,100,29002.36,29002.53,1789623366876.4,1,forward,0
5291,0,30,100,29102.36,29102.60,1789623366976.4,1,forward,0
5292,0,30,100,29202.36,29202.59,1789623367076.4,1,forward,0
5293,0,30,100,29302.36,29302.62,1789623367176.4,1,forward,0
5294,0,30,100,29402.36,29402.58,1789623367276.4,1,forward,0
5295,0,30,100,29502.36,29502.59,1789623367376.4,1,forward,0
5296,0,30,100,29602.36,29602.72,1789623367476.4,1,forward,0
5297,0,30,100,29702.36,29702.75,1789623367576.4,1,forward,0
5298,0,30,100,29802.44,29802.67,1789623367676.4,1,forward,0
5299,0,30,100,29902.36,29902.52,1789623367776.4,1,forward,0
5300,0,30,100,29902.64,29902.78,1789623367776.6,1,forward,0
5301,0,30,100,30002.64,30002.90,1789623367876.6,1,forward,0
5302,0,30,100,30102.64,30102.87,1789623367976.6,1,forward,0
5303,0,30,100,30202.64,30202.93,1789623368076.6,1,forward,0
5304,0,30,100,30302.64,30302.87,1789623368176.6,1,forward,0
5305,0,30,100,30402.64,30403.03,1789623368276.6,1,forward,0
5306,0,30,100,30502.64,30502.98,1789623368376.6,1,forward,0
5307,0,30,100,30602.64,30602.94,1789623368476.6,1,forward,0
5308,0,30,100,30702.64,30702.90,1789623368576.6,1,forward,0
5309,0,30,100,30802.64,30802.89,1789623368676.6,1,forward,0
5310,0,30,100,30902.65,30902.99,1789623368776.7,1,forward,0
5311,0,30,100,31002.64,31002.93,1789623368876.6,1,forward,0
5312,0,30,100,31102.64,31102.90,1789623368976.6,1,forward,0
5313,0,30,100,31202.64,31202.94,1789623369076.6,1,forward,0
5314,0,30,100,31303.18,31303.46,1789623369177.2,1,forward,0
5315,0,30,100,31402.64,31402.95,1789623369276.6,1,forward,0
5316,0,30,100,31502.82,31503.13,1789623369376.8,1,forward,0
5317,0,30,100,31602.64,31602.88,1789623369476.6,1,forward,0
5318,0,30,100,31702.64,31702.95,1789623369576.6,1,forward,0
5319,0,30,100,31802.64,31802.91,1789623369676.6,1,forward,0
5320,0,31,150,31803.18,31803.38,1789623369677.2,1,forward,0
5321,0,31,150,31953.18,31953.41,1789623369827.2,1,forward,0
5322,0,31,150,32103.18,32103.43,1789623369977.2,1,forward,0
5323,0,31,150,32253.18,32253.45,1789623370127.2,1,forward,0
5324,0,31,150,32403.18,32403.67,1789623370277.2,1,forward,0
5325,0,31,150,32553.18,32553.40,1789623370427.2,1,forward,0
5326,0,31,150,32703.26,32703.54,1789623370577.3,1,forward,0
5327,0,31,150,32853.18,32853.58,1789623370727.2,1,forward,0
5328,0,31,150,33003.27,33003.52,1789623370877.3,1,forward,0
5329,0,31,150,33153.18,33153.39,1789623371027.2,1,forward,0
5330,0,31,150,33303.18,33303.65,1789623371177.2,1,forward,0
5331,0,31,150,33453.18,33453.49,1789623371327.2,1,forward,0
5332,0,31,150,33603.65,33604.12,1789623371477.6,1,forward,0
5333,0,31,150,33753.18,33753.41,1789623371627.2,1,forward,0
5334,0,31,150,33903.18,33903.93,1789623371777.2,1,forward,0
5335,0,31,150,34053.18,34053.44,1789623371927.2,1,forward,0
5336,0,31,150,34203.18,34203.56,1789623372077.2,1,forward,0
5337,0,31,150,34353.18,34353.48,1789623372227.2,1,forward,0
5338,0,31,150,34503.18,34503.65,1789623372377.2,1,forward,0
5339,0,31,150,34653.20,34653.45,1789623372527.2,1,forward,0
5340,0,31,150,34803.18,34803.39,1789623372677.2,1,forward,0
5341,0,31,150,34953.18,34953.53,1789623372827.2,1,forward,0
5342,0,31,150,35103.18,35103.50,1789623372977.2,1,forward,0
5343,0,31,150,35253.20,35253.46,1789623373127.2,1,forward,0
5344,0,31,150,35403.18,35403.58,1789623373277.2,1,forward,0
5345,0,31,150,35553.33,35553.57,1789623373427.3,1,forward,0
