frame,timeMs,boardIdx,x,y,w,h,seq,mode,epoch,consistent,exact,isLocal,isFriend,allZero,mismatches,loop,valid
83,1383.33,0,280,280,320,164,300,0,6,1,1,1,0,0,0,68053,1
83,1383.33,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68403,1
84,1400.00,0,280,280,320,164,300,0,6,1,1,1,0,0,0,68055,1
84,1400.00,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68405,1
85,1416.67,0,280,280,320,164,300,0,6,1,1,1,0,0,0,68057,1
85,1416.67,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68407,1
86,1433.33,0,280,280,320,164,300,0,6,1,1,1,0,0,0,68059,1
86,1433.33,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68409,1
87,1450.00,0,280,280,320,164,300,0,6,1,1,1,0,0,0,68061,1
87,1450.00,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68411,1
88,1466.67,0,280,280,320,164,300,0,6,1,1,1,0,0,0,68063,1
88,1466.67,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68413,1
89,1483.33,0,280,280,320,164,300,0,6,1,1,1,0,0,0,68065,1
89,1483.33,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68415,1
90,1500.00,0,280,280,320,164,300,0,6,1,1,1,0,0,0,68067,1
90,1500.00,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68417,1
91,1516.67,0,280,280,320,164,300,0,6,1,1,1,0,0,0,68069,1
91,1516.67,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68419,1
92,1533.33,0,280,280,320,164,300,0,6,1,1,1,0,0,0,68071,1
92,1533.33,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68421,1
93,1550.00,0,280,280,320,164,300,0,6,1,1,1,0,0,0,68073,1
93,1550.00,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68423,1
94,1566.67,0,280,280,320,164,300,0,6,1,1,1,0,0,0,68075,1
94,1566.67,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68425,1
95,1583.33,0,280,280,320,164,300,0,6,1,1,1,0,0,0,68075,1
95,1583.33,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68425,1
96,1600.00,0,280,280,320,164,300,0,6,1,1,1,0,0,0,68079,1
96,1600.00,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68429,1
97,1616.67,0,280,280,320,164,300,0,6,1,1,1,0,0,0,68081,1
97,1616.67,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68431,1
98,1633.33,0,280,280,320,164,300,0,6,1,1,1,0,0,0,68083,1
98,1633.33,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68433,1
