
=== B=256 (metric msssimc, AUC over log t, training images) ===
codec  cfg                        imgs |    t=1    t=2    t=5   t=10   t=20   t=40   t=60 |   AUC
 dctv   r256-s2                      18 |  0.385  0.390  0.474  0.620  0.724  0.792  0.825 | 0.577
*wav    q48-rd                       18 |  0.502  0.584  0.688  0.766  0.828  0.874  0.899 | 0.724
 wav    q48                          18 |  0.499  0.558  0.671  0.756  0.823  0.873  0.897 | 0.713
 wav    q24-rd                       18 |  0.491  0.571  0.667  0.745  0.807  0.862  0.885 | 0.707
 wav    q24                          18 |  0.478  0.549  0.639  0.724  0.798  0.859  0.886 | 0.691
 wav    q12-rd                       18 |  0.463  0.554  0.652  0.728  0.790  0.845  0.871 | 0.690
 wav    q12                          18 |  0.466  0.540  0.597  0.696  0.773  0.831  0.864 | 0.666
*wavs   q48-m4-rd                    18 |  0.499  0.561  0.658  0.732  0.792  0.836  0.864 | 0.695
 wavs   q48-m4                       18 |  0.504  0.556  0.656  0.731  0.793  0.840  0.866 | 0.695
 wavs   q24-m4                       18 |  0.483  0.542  0.628  0.702  0.768  0.826  0.849 | 0.673
 wavs   q24-m4-rd                    18 |  0.473  0.541  0.633  0.704  0.766  0.819  0.842 | 0.671
 wavs   q12-m4-rd                    18 |  0.459  0.526  0.606  0.679  0.740  0.795  0.821 | 0.649
 wavs   q12-m4                       18 |  0.467  0.533  0.590  0.672  0.743  0.796  0.826 | 0.648
 wavs   q48-m16-rd                   18 |  0.510  0.557  0.600  0.649  0.692  0.731  0.765 | 0.634
 wavs   q48-m16                      18 |  0.510  0.557  0.598  0.649  0.691  0.730  0.763 | 0.632
 wavs   q24-m16-rd                   18 |  0.492  0.546  0.579  0.629  0.674  0.716  0.735 | 0.616
 wavs   q24-m16                      18 |  0.492  0.546  0.578  0.626  0.667  0.716  0.734 | 0.614
 wavs   q12-m16-rd                   18 |  0.474  0.535  0.563  0.616  0.659  0.707  0.728 | 0.603
 wavs   q12-m16                      18 |  0.474  0.535  0.558  0.617  0.664  0.706  0.729 | 0.603
*wavl   L96-32-10                    18 |  0.524  0.607  0.713  0.787  0.839  0.875  0.894 | 0.741
 wavl   L96-24                       18 |  0.524  0.607  0.713  0.787  0.839  0.874  0.893 | 0.741
 wavl   L48-12                       18 |  0.504  0.581  0.688  0.765  0.826  0.874  0.893 | 0.723
*pw     n100-e7.6.5-c565a2-r128-L96-32-10   18 |  0.572  0.641  0.732  0.798  0.855  0.895  0.912 | 0.763
 pw     n250-e7.6.5-c565a2-r128-L96-32-10   18 |  0.572  0.641  0.732  0.796  0.847  0.893  0.915 | 0.761
*palq   k3-r64                       18 |  0.494  0.577  0.660  0.714  0.771  0.846  0.866 | 0.693
 palq   k4-r64                       18 |  0.391  0.507  0.603  0.665  0.726  0.820  0.884 | 0.641
 palq   k4-r128                      18 |  0.391  0.493  0.588  0.652  0.703  0.747  0.774 | 0.613
*tile   T16-L96-24-t10               18 |  0.524  0.603  0.715  0.788  0.841  0.876  0.896 | 0.741
 tile   T32-L96-24-t5                18 |  0.524  0.603  0.715  0.788  0.841  0.876  0.896 | 0.741
 tile   T64-L96-24-t10               18 |  0.523  0.605  0.712  0.788  0.841  0.876  0.896 | 0.741
 tile   T32-L96-24-t10               18 |  0.523  0.603  0.715  0.787  0.841  0.876  0.895 | 0.741
 tile   T32-L96-24-t20               18 |  0.523  0.602  0.715  0.786  0.840  0.876  0.896 | 0.740
 tile   T32-L96-24-t40               18 |  0.523  0.602  0.714  0.786  0.840  0.876  0.895 | 0.740

=== B=32 (metric msssimc, AUC over log t, training images) ===
codec  cfg                        imgs |    t=1    t=2    t=5   t=10   t=20   t=40   t=60 |   AUC
*prim   e6.5.4-c332a2-r256-n200      18 |  0.505  0.556  0.634  0.701  0.757  0.809  0.843 | 0.674
 prim   e6.5.4-c332a2-r256-n640      18 |  0.505  0.556  0.634  0.701  0.757  0.809  0.835 | 0.673
 prim   t5-c332a0-r256-n640          18 |  0.496  0.546  0.616  0.680  0.740  0.788  0.811 | 0.657
 prim   e4.3.2-c222a0-r64-n250       18 |  0.518  0.569  0.633  0.675  0.708  0.732  0.737 | 0.649
*pal    g32-k3                       18 |  0.391  0.419  0.567  0.630  0.748  0.781  0.782 | 0.604
 pal    g64-k3                       18 |  0.391  0.364  0.477  0.542  0.672  0.723  0.771 | 0.539
 pal    g32-k5                       18 |  0.391  0.391  0.359  0.537  0.638  0.767  0.804 | 0.522
 pal    g128-k3                      18 |  0.391  0.363  0.428  0.478  0.596  0.645  0.709 | 0.492
 pal    g64-k5                       18 |  0.391  0.391  0.363  0.438  0.538  0.670  0.722 | 0.472
 pal    g128-k5                      18 |  0.391  0.391  0.381  0.385  0.469  0.586  0.632 | 0.439
*dctf   r128-s8                      18 |  0.387  0.397  0.507  0.590  0.635  0.719  0.739 | 0.551
 dctf   r128-s4                      18 |  0.386  0.391  0.463  0.585  0.623  0.719  0.758 | 0.539
 dctf   r128-s2                      18 |  0.387  0.387  0.415  0.523  0.602  0.679  0.738 | 0.508
 dctf   r256-s8                      18 |  0.390  0.389  0.386  0.411  0.502  0.662  0.693 | 0.463
 dctf   r256-s2                      18 |  0.390  0.389  0.386  0.393  0.442  0.578  0.666 | 0.437
 dctf   r256-s4                      18 |  0.390  0.389  0.386  0.392  0.441  0.576  0.662 | 0.437
*dctv   r128-s8                      18 |  0.385  0.421  0.532  0.608  0.690  0.771  0.811 | 0.583
 dctv   r128-s4                      18 |  0.381  0.395  0.485  0.587  0.656  0.749  0.797 | 0.556
 dctv   r128-s2                      18 |  0.386  0.387  0.440  0.553  0.617  0.707  0.759 | 0.526
 dctv   r256-s8                      18 |  0.389  0.385  0.394  0.467  0.590  0.705  0.746 | 0.497
 dctv   r256-s4                      18 |  0.389  0.387  0.386  0.419  0.508  0.651  0.710 | 0.464
 dctv   r256-s2                      18 |  0.390  0.389  0.386  0.392  0.442  0.552  0.644 | 0.432
*wav    q96-rd                       18 |  0.429  0.475  0.573  0.658  0.731  0.788  0.816 | 0.624
 wav    q48-rd                       18 |  0.424  0.466  0.552  0.629  0.707  0.770  0.800 | 0.605
 wav    q24-rd                       18 |  0.422  0.461  0.543  0.615  0.695  0.760  0.793 | 0.596
 wav    q96                          18 |  0.391  0.453  0.525  0.620  0.703  0.770  0.804 | 0.593
 wav    q48                          18 |  0.387  0.430  0.519  0.569  0.668  0.748  0.783 | 0.568
 wav    q24                          18 |  0.382  0.407  0.511  0.544  0.650  0.727  0.767 | 0.550
*wavs   q96-m4-rd-u8                 18 |  0.428  0.476  0.545  0.622  0.690  0.797  0.826 | 0.607
 wavs   q96-m4-u8                    18 |  0.409  0.464  0.509  0.602  0.672  0.797  0.828 | 0.589
 wavs   q48-m4-rd-u8                 18 |  0.405  0.443  0.517  0.591  0.658  0.779  0.808 | 0.579
 wavs   q96-m4-rd-u10                18 |  0.411  0.459  0.525  0.600  0.666  0.726  0.757 | 0.577
 wavs   q96-m4-u10                   18 |  0.395  0.449  0.496  0.581  0.653  0.717  0.750 | 0.561
 wavs   q48-m4-u8                    18 |  0.393  0.442  0.485  0.553  0.630  0.780  0.812 | 0.561
 wavs   q24-m4-rd-u8                 18 |  0.403  0.437  0.501  0.563  0.631  0.753  0.783 | 0.561
 wavs   q96-m16-rd-u8                18 |  0.424  0.472  0.486  0.554  0.600  0.728  0.817 | 0.558
 wavs   q96-m16-u8                   18 |  0.422  0.472  0.484  0.553  0.601  0.727  0.817 | 0.557
 wavs   q48-m4-rd-u10                18 |  0.403  0.437  0.500  0.571  0.638  0.701  0.732 | 0.553
 wavs   q24-m4-rd-u10                18 |  0.397  0.428  0.486  0.550  0.613  0.678  0.712 | 0.536
 wavs   q24-m4-u8                    18 |  0.387  0.425  0.467  0.508  0.596  0.757  0.788 | 0.536
